,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
65,Adelie Penguin (Pygoscelis adeliae),Dream,40.8,18.4,195.0,3900.0,MALE
66,Chinstrap penguin (Pygoscelis antarctica),Dream,49.3,19.9,203.0,4050.0,MALE
67,Chinstrap penguin (Pygoscelis antarctica),Dream,50.7,19.7,203.0,4050.0,MALE
68,Chinstrap penguin (Pygoscelis antarctica),Dream,51.0,18.8,203.0,4100.0,MALE
69,Adelie Penguin (Pygoscelis adeliae),Dream,42.2,18.5,180.0,3550.0,FEMALE
70,Adelie Penguin (Pygoscelis adeliae),Dream,39.5,17.8,188.0,3300.0,FEMALE
71,Adelie Penguin (Pygoscelis adeliae),Dream,32.1,15.5,188.0,3050.0,FEMALE
72,Chinstrap penguin (Pygoscelis antarctica),Dream,45.4,18.7,188.0,3525.0,FEMALE
73,Chinstrap penguin (Pygoscelis antarctica),Dream,50.9,19.1,196.0,3550.0,MALE
74,Adelie Penguin (Pygoscelis adeliae),Dream,40.3,18.5,196.0,4350.0,MALE
75,Chinstrap penguin (Pygoscelis antarctica),Dream,45.5,17.0,196.0,3500.0,FEMALE
76,Chinstrap penguin (Pygoscelis antarctica),Dream,50.0,19.5,196.0,3900.0,MALE
77,Adelie Penguin (Pygoscelis adeliae),Dream,39.2,21.1,196.0,4150.0,MALE
78,Adelie Penguin (Pygoscelis adeliae),Dream,44.1,19.7,196.0,4400.0,MALE
79,Chinstrap penguin (Pygoscelis antarctica),Dream,50.9,17.9,196.0,3675.0,FEMALE
80,Chinstrap penguin (Pygoscelis antarctica),Dream,49.0,19.6,212.0,4300.0,MALE
81,Adelie Penguin (Pygoscelis adeliae),Dream,37.6,19.3,181.0,3300.0,FEMALE
82,Chinstrap penguin (Pygoscelis antarctica),Dream,42.4,17.3,181.0,3600.0,FEMALE
83,Chinstrap penguin (Pygoscelis antarctica),Dream,58.0,17.8,181.0,3700.0,FEMALE
84,Adelie Penguin (Pygoscelis adeliae),Dream,38.3,19.2,189.0,3950.0,MALE
85,Adelie Penguin (Pygoscelis adeliae),Dream,36.9,18.6,189.0,3500.0,FEMALE
86,Chinstrap penguin (Pygoscelis antarctica),Dream,46.8,16.5,189.0,3650.0,FEMALE
87,Chinstrap penguin (Pygoscelis antarctica),Dream,52.2,18.8,197.0,3450.0,MALE
88,Chinstrap penguin (Pygoscelis antarctica),Dream,51.3,18.2,197.0,3750.0,MALE
89,Chinstrap penguin (Pygoscelis antarctica),Dream,52.7,19.8,197.0,3725.0,MALE
90,Chinstrap penguin (Pygoscelis antarctica),Dream,52.0,19.0,197.0,4150.0,MALE
91,Chinstrap penguin (Pygoscelis antarctica),Dream,50.3,20.0,197.0,3300.0,MALE
92,Chinstrap penguin (Pygoscelis antarctica),Dream,53.5,19.9,205.0,4500.0,MALE
93,Adelie Penguin (Pygoscelis adeliae),Dream,41.1,18.1,205.0,4300.0,MALE
94,Chinstrap penguin (Pygoscelis antarctica),Dream,52.8,20.0,205.0,4550.0,MALE
95,Adelie Penguin (Pygoscelis adeliae),Dream,36.5,18.0,182.0,3150.0,FEMALE
96,Adelie Penguin (Pygoscelis adeliae),Dream,41.1,19.0,182.0,3425.0,MALE
97,Adelie Penguin (Pygoscelis adeliae),Dream,36.0,17.9,190.0,3450.0,FEMALE
98,Adelie Penguin (Pygoscelis adeliae),Dream,41.1,17.5,190.0,3900.0,MALE
99,Adelie Penguin (Pygoscelis adeliae),Dream,36.3,19.5,190.0,3800.0,MALE
100,Adelie Penguin (Pygoscelis adeliae),Dream,39.2,18.6,190.0,4250.0,MALE
101,Adelie Penguin (Pygoscelis adeliae),Dream,38.9,18.8,190.0,3600.0,FEMALE
102,Adelie Penguin (Pygoscelis adeliae),Dream,39.6,18.8,190.0,4600.0,MALE
103,Adelie Penguin (Pygoscelis adeliae),Dream,40.7,17.0,190.0,3725.0,MALE
104,Chinstrap penguin (Pygoscelis antarctica),Dream,45.9,17.1,190.0,3575.0,FEMALE
105,Adelie Penguin (Pygoscelis adeliae),Dream,38.1,18.6,190.0,3700.0,FEMALE
106,Adelie Penguin (Pygoscelis adeliae),Dream,38.8,20.0,190.0,3950.0,MALE
107,Chinstrap penguin (Pygoscelis antarctica),Dream,46.4,18.6,190.0,3450.0,FEMALE
108,Chinstrap penguin (Pygoscelis antarctica),Dream,50.1,17.9,190.0,3400.0,FEMALE
109,Chinstrap penguin (Pygoscelis antarctica),Dream,45.2,17.8,198.0,3950.0,FEMALE
110,Chinstrap penguin (Pygoscelis antarctica),Dream,51.3,19.9,198.0,3700.0,MALE
111,Chinstrap penguin (Pygoscelis antarctica),Dream,49.8,17.3,198.0,3675.0,FEMALE
112,Chinstrap penguin (Pygoscelis antarctica),Dream,50.2,18.7,198.0,3775.0,FEMALE
113,Chinstrap penguin (Pygoscelis antarctica),Dream,51.9,19.5,206.0,3950.0,MALE
114,Chinstrap penguin (Pygoscelis antarctica),Dream,45.2,16.6,191.0,3250.0,FEMALE
115,Chinstrap penguin (Pygoscelis antarctica),Dream,48.5,17.5,191.0,3400.0,MALE
116,Adelie Penguin (Pygoscelis adeliae),Dream,42.3,21.2,191.0,4150.0,MALE
117,Adelie Penguin (Pygoscelis adeliae),Dream,37.3,17.8,191.0,3350.0,FEMALE
118,Adelie Penguin (Pygoscelis adeliae),Dream,35.6,17.5,191.0,3175.0,FEMALE
119,Chinstrap penguin (Pygoscelis antarctica),Dream,46.4,17.8,191.0,3700.0,FEMALE
120,Chinstrap penguin (Pygoscelis antarctica),Dream,47.5,16.8,199.0,3900.0,FEMALE
121,Chinstrap penguin (Pygoscelis antarctica),Dream,48.1,16.4,199.0,3325.0,FEMALE
122,Adelie Penguin (Pygoscelis adeliae),Dream,37.5,18.5,199.0,4475.0,MALE
123,Chinstrap penguin (Pygoscelis antarctica),Dream,55.8,19.8,207.0,4000.0,MALE
124,Gentoo penguin (Pygoscelis papua),Biscoe,,,,,
125,Adelie Penguin (Pygoscelis adeliae),Biscoe,39.7,18.9,184.0,3550.0,MALE
126,Adelie Penguin (Pygoscelis adeliae),Biscoe,36.4,17.1,184.0,2850.0,FEMALE
127,Adelie Penguin (Pygoscelis adeliae),Biscoe,41.6,18.0,192.0,3950.0,MALE
128,Adelie Penguin (Pygoscelis adeliae),Biscoe,35.0,17.9,192.0,3725.0,FEMALE
129,Adelie Penguin (Pygoscelis adeliae),Biscoe,41.1,18.2,192.0,4050.0,MALE
130,Adelie Penguin (Pygoscelis adeliae),Biscoe,42.0,19.5,200.0,4050.0,MALE
131,Gentoo penguin (Pygoscelis papua),Biscoe,43.8,13.9,208.0,4300.0,FEMALE
132,Gentoo penguin (Pygoscelis papua),Biscoe,43.3,14.0,208.0,4575.0,FEMALE
133,Gentoo penguin (Pygoscelis papua),Biscoe,44.0,13.6,208.0,4350.0,FEMALE
134,Gentoo penguin (Pygoscelis papua),Biscoe,42.7,13.7,208.0,3950.0,FEMALE
135,Gentoo penguin (Pygoscelis papua),Biscoe,45.3,13.8,208.0,4200.0,FEMALE
136,Gentoo penguin (Pygoscelis papua),Biscoe,43.2,14.5,208.0,4450.0,FEMALE
137,Gentoo penguin (Pygoscelis papua),Biscoe,48.7,15.7,208.0,5350.0,MALE
138,Gentoo penguin (Pygoscelis papua),Biscoe,50.5,15.2,216.0,5000.0,FEMALE
139,Gentoo penguin (Pygoscelis papua),Biscoe,49.4,15.8,216.0,4925.0,MALE
140,Gentoo penguin (Pygoscelis papua),Biscoe,47.3,13.8,216.0,4725.0,
141,Gentoo penguin (Pygoscelis papua),Biscoe,49.6,15.0,216.0,4750.0,MALE
142,Gentoo penguin (Pygoscelis papua),Biscoe,44.5,14.3,216.0,4100.0,
143,Gentoo penguin (Pygoscelis papua),Biscoe,46.4,15.0,216.0,4700.0,FEMALE
144,Gentoo penguin (Pygoscelis papua),Biscoe,49.0,16.1,216.0,5550.0,MALE
145,Gentoo penguin (Pygoscelis papua),Biscoe,47.7,15.0,216.0,4750.0,FEMALE
146,Gentoo penguin (Pygoscelis papua),Biscoe,49.5,16.1,224.0,5650.0,MALE
147,Gentoo penguin (Pygoscelis papua),Biscoe,50.0,15.9,224.0,5350.0,MALE
148,Gentoo penguin (Pygoscelis papua),Biscoe,50.4,15.3,224.0,5550.0,MALE
149,Adelie Penguin (Pygoscelis adeliae),Biscoe,35.7,16.9,185.0,3150.0,FEMALE
150,Adelie Penguin (Pygoscelis adeliae),Biscoe,37.6,17.0,185.0,3600.0,FEMALE
151,Adelie Penguin (Pygoscelis adeliae),Biscoe,38.2,18.1,185.0,3950.0,MALE
152,Adelie Penguin (Pygoscelis adeliae),Biscoe,40.6,18.8,193.0,3800.0,MALE
153,Adelie Penguin (Pygoscelis adeliae),Biscoe,39.7,17.7,193.0,3200.0,FEMALE
154,Adelie Penguin (Pygoscelis adeliae),Biscoe,37.9,18.6,193.0,2925.0,FEMALE
155,Gentoo penguin (Pygoscelis papua),Biscoe,48.1,15.1,209.0,5500.0,MALE
156,Gentoo penguin (Pygoscelis papua),Biscoe,46.2,14.5,209.0,4800.0,FEMALE
157,Gentoo penguin (Pygoscelis papua),Biscoe,43.3,13.4,209.0,4400.0,FEMALE
158,Gentoo penguin (Pygoscelis papua),Biscoe,42.8,14.2,209.0,4700.0,FEMALE
159,Gentoo penguin (Pygoscelis papua),Biscoe,47.5,14.2,209.0,4600.0,FEMALE
160,Gentoo penguin (Pygoscelis papua),Biscoe,43.6,13.9,217.0,4900.0,FEMALE
161,Gentoo penguin (Pygoscelis papua),Biscoe,49.3,15.7,217.0,5850.0,MALE
162,Gentoo penguin (Pygoscelis papua),Biscoe,46.5,14.8,217.0,5200.0,FEMALE
163,Gentoo penguin (Pygoscelis papua),Biscoe,46.5,14.4,217.0,4900.0,FEMALE
164,Gentoo penguin (Pygoscelis papua),Biscoe,44.5,15.7,217.0,4875.0,.
165,Gentoo penguin (Pygoscelis papua),Biscoe,46.2,14.1,217.0,4375.0,FEMALE
166,Gentoo penguin (Pygoscelis papua),Biscoe,50.1,15.0,225.0,5000.0,MALE
167,Gentoo penguin (Pygoscelis papua),Biscoe,51.1,16.5,225.0,5250.0,MALE
168,Gentoo penguin (Pygoscelis papua),Biscoe,49.6,16.0,225.0,5700.0,MALE
169,Gentoo penguin (Pygoscelis papua),Biscoe,50.5,15.9,225.0,5400.0,MALE
170,Adelie Penguin (Pygoscelis adeliae),Biscoe,39.0,17.5,186.0,3550.0,FEMALE
171,Adelie Penguin (Pygoscelis adeliae),Biscoe,39.6,17.7,186.0,3500.0,FEMALE
172,Adelie Penguin (Pygoscelis adeliae),Biscoe,37.6,19.1,194.0,3750.0,MALE
173,Gentoo penguin (Pygoscelis papua),Biscoe,45.8,14.6,210.0,4200.0,FEMALE
174,Gentoo penguin (Pygoscelis papua),Biscoe,46.5,13.5,210.0,4550.0,FEMALE
175,Gentoo penguin (Pygoscelis papua),Biscoe,45.3,13.7,210.0,4300.0,FEMALE
176,Gentoo penguin (Pygoscelis papua),Biscoe,48.7,14.1,210.0,4450.0,FEMALE
177,Gentoo penguin (Pygoscelis papua),Biscoe,42.0,13.5,210.0,4150.0,FEMALE
178,Gentoo penguin (Pygoscelis papua),Biscoe,45.1,14.4,210.0,4400.0,FEMALE
179,Gentoo penguin (Pygoscelis papua),Biscoe,45.5,13.9,210.0,4200.0,FEMALE
180,Gentoo penguin (Pygoscelis papua),Biscoe,48.2,14.3,210.0,4600.0,FEMALE
181,Gentoo penguin (Pygoscelis papua),Biscoe,46.6,14.2,210.0,4850.0,FEMALE
182,Gentoo penguin (Pygoscelis papua),Biscoe,41.7,14.7,210.0,4700.0,FEMALE
183,Gentoo penguin (Pygoscelis papua),Biscoe,50.2,14.3,218.0,5700.0,MALE
184,Gentoo penguin (Pygoscelis papua),Biscoe,47.5,15.0,218.0,4950.0,FEMALE
185,Gentoo penguin (Pygoscelis papua),Biscoe,51.3,14.2,218.0,5300.0,MALE
186,Gentoo penguin (Pygoscelis papua),Biscoe,50.0,15.2,218.0,5700.0,MALE
187,Gentoo penguin (Pygoscelis papua),Biscoe,43.4,14.4,218.0,4600.0,FEMALE
188,Gentoo penguin (Pygoscelis papua),Biscoe,50.8,15.7,226.0,5200.0,MALE
189,Adelie Penguin (Pygoscelis adeliae),Biscoe,35.3,18.9,187.0,3800.0,FEMALE
190,Adelie Penguin (Pygoscelis adeliae),Biscoe,40.5,17.9,187.0,3200.0,FEMALE
191,Adelie Penguin (Pygoscelis adeliae),Biscoe,34.5,18.1,187.0,2900.0,FEMALE
192,Adelie Penguin (Pygoscelis adeliae),Biscoe,41.3,21.1,195.0,4400.0,MALE
193,Adelie Penguin (Pygoscelis adeliae),Biscoe,35.5,16.2,195.0,3350.0,FEMALE
194,Adelie Penguin (Pygoscelis adeliae),Biscoe,41.0,20.0,203.0,4725.0,MALE
195,Gentoo penguin (Pygoscelis papua),Biscoe,48.4,14.4,203.0,4625.0,FEMALE
196,Gentoo penguin (Pygoscelis papua),Biscoe,45.4,14.6,211.0,4800.0,FEMALE
197,Gentoo penguin (Pygoscelis papua),Biscoe,46.1,13.2,211.0,4500.0,FEMALE
198,Gentoo penguin (Pygoscelis papua),Biscoe,44.4,17.3,219.0,5250.0,MALE
199,Gentoo penguin (Pygoscelis papua),Biscoe,45.8,14.2,219.0,4700.0,FEMALE
200,Gentoo penguin (Pygoscelis papua),Biscoe,53.4,15.8,219.0,5500.0,MALE
201,Gentoo penguin (Pygoscelis papua),Biscoe,48.5,15.0,219.0,4850.0,FEMALE
202,Gentoo penguin (Pygoscelis papua),Biscoe,46.7,15.3,219.0,5200.0,MALE
203,Adelie Penguin (Pygoscelis adeliae),Biscoe,37.9,18.6,172.0,3150.0,FEMALE
204,Adelie Penguin (Pygoscelis adeliae),Biscoe,38.8,17.2,180.0,3800.0,MALE
205,Adelie Penguin (Pygoscelis adeliae),Biscoe,37.7,18.7,180.0,3600.0,MALE
206,Adelie Penguin (Pygoscelis adeliae),Biscoe,40.5,18.9,180.0,3950.0,MALE
207,Adelie Penguin (Pygoscelis adeliae),Biscoe,41.1,19.1,188.0,4100.0,MALE
208,Adelie Penguin (Pygoscelis adeliae),Biscoe,40.1,18.9,188.0,4300.0,MALE
209,Adelie Penguin (Pygoscelis adeliae),Biscoe,42.7,18.3,196.0,4075.0,MALE
210,Gentoo penguin (Pygoscelis papua),Biscoe,47.5,14.0,212.0,4875.0,FEMALE
211,Gentoo penguin (Pygoscelis papua),Biscoe,47.4,14.6,212.0,4725.0,FEMALE
212,Gentoo penguin (Pygoscelis papua),Biscoe,45.5,14.5,212.0,4750.0,FEMALE
213,Gentoo penguin (Pygoscelis papua),Biscoe,45.2,14.8,212.0,5200.0,FEMALE
214,Gentoo penguin (Pygoscelis papua),Biscoe,44.9,13.8,212.0,4750.0,FEMALE
215,Gentoo penguin (Pygoscelis papua),Biscoe,49.1,14.5,212.0,4625.0,FEMALE
216,Gentoo penguin (Pygoscelis papua),Biscoe,48.4,16.3,220.0,5400.0,MALE
217,Gentoo penguin (Pygoscelis papua),Biscoe,50.0,15.3,220.0,5550.0,MALE
218,Gentoo penguin (Pygoscelis papua),Biscoe,45.0,15.4,220.0,5050.0,MALE
219,Gentoo penguin (Pygoscelis papua),Biscoe,45.5,15.0,220.0,5000.0,MALE
220,Gentoo penguin (Pygoscelis papua),Biscoe,48.5,14.1,220.0,5300.0,MALE
221,Gentoo penguin (Pygoscelis papua),Biscoe,51.1,16.3,220.0,6000.0,MALE
222,Gentoo penguin (Pygoscelis papua),Biscoe,49.1,14.8,220.0,5150.0,FEMALE
223,Gentoo penguin (Pygoscelis papua),Biscoe,43.5,14.2,220.0,4700.0,FEMALE
224,Gentoo penguin (Pygoscelis papua),Biscoe,49.1,15.0,228.0,5500.0,MALE
225,Gentoo penguin (Pygoscelis papua),Biscoe,55.9,17.0,228.0,5600.0,MALE
226,Gentoo penguin (Pygoscelis papua),Biscoe,50.8,17.3,228.0,5600.0,MALE
227,Gentoo penguin (Pygoscelis papua),Biscoe,52.2,17.1,228.0,5400.0,MALE
228,Adelie Penguin (Pygoscelis adeliae),Biscoe,38.1,17.0,181.0,3175.0,FEMALE
229,Adelie Penguin (Pygoscelis adeliae),Biscoe,36.5,16.6,181.0,2850.0,FEMALE
230,Adelie Penguin (Pygoscelis adeliae),Biscoe,35.9,19.2,189.0,3800.0,FEMALE
231,Adelie Penguin (Pygoscelis adeliae),Biscoe,42.2,19.5,197.0,4275.0,MALE
232,Adelie Penguin (Pygoscelis adeliae),Biscoe,43.2,19.0,197.0,4775.0,MALE
233,Gentoo penguin (Pygoscelis papua),Biscoe,42.6,13.7,213.0,4950.0,FEMALE
234,Gentoo penguin (Pygoscelis papua),Biscoe,44.9,13.3,213.0,5100.0,FEMALE
235,Gentoo penguin (Pygoscelis papua),Biscoe,46.5,14.5,213.0,4400.0,FEMALE
236,Gentoo penguin (Pygoscelis papua),Biscoe,43.5,15.2,213.0,4650.0,FEMALE
237,Gentoo penguin (Pygoscelis papua),Biscoe,48.4,14.6,213.0,5850.0,MALE
238,Gentoo penguin (Pygoscelis papua),Biscoe,49.9,16.1,213.0,5400.0,MALE
239,Gentoo penguin (Pygoscelis papua),Biscoe,46.4,15.6,221.0,5000.0,MALE
240,Gentoo penguin (Pygoscelis papua),Biscoe,49.2,15.2,221.0,6300.0,MALE
241,Gentoo penguin (Pygoscelis papua),Biscoe,46.2,14.9,221.0,5300.0,MALE
242,Gentoo penguin (Pygoscelis papua),Biscoe,52.5,15.6,221.0,5450.0,MALE
243,Gentoo penguin (Pygoscelis papua),Biscoe,48.2,15.6,221.0,5100.0,MALE
244,Gentoo penguin (Pygoscelis papua),Biscoe,49.8,15.9,229.0,5950.0,MALE
245,Gentoo penguin (Pygoscelis papua),Biscoe,49.5,16.2,229.0,5800.0,MALE
246,Adelie Penguin (Pygoscelis adeliae),Biscoe,37.8,18.3,174.0,3400.0,FEMALE
247,Adelie Penguin (Pygoscelis adeliae),Biscoe,35.0,17.9,190.0,3450.0,FEMALE
248,Adelie Penguin (Pygoscelis adeliae),Biscoe,38.2,20.0,190.0,3900.0,MALE
249,Adelie Penguin (Pygoscelis adeliae),Biscoe,37.8,20.0,190.0,4250.0,MALE
250,Adelie Penguin (Pygoscelis adeliae),Biscoe,38.1,16.5,198.0,3825.0,FEMALE
251,Gentoo penguin (Pygoscelis papua),Biscoe,45.5,13.7,214.0,4650.0,FEMALE
252,Gentoo penguin (Pygoscelis papua),Biscoe,46.2,14.4,214.0,4650.0,
253,Gentoo penguin (Pygoscelis papua),Biscoe,45.7,13.9,214.0,4400.0,FEMALE
254,Gentoo penguin (Pygoscelis papua),Biscoe,40.9,13.7,214.0,4650.0,FEMALE
255,Gentoo penguin (Pygoscelis papua),Biscoe,44.5,14.7,214.0,4850.0,FEMALE
256,Gentoo penguin (Pygoscelis papua),Biscoe,47.2,13.7,214.0,4925.0,FEMALE
257,Gentoo penguin (Pygoscelis papua),Biscoe,48.8,16.2,222.0,6000.0,MALE
258,Gentoo penguin (Pygoscelis papua),Biscoe,46.9,14.6,222.0,4875.0,FEMALE
259,Gentoo penguin (Pygoscelis papua),Biscoe,48.7,15.1,222.0,5350.0,MALE
260,Gentoo penguin (Pygoscelis papua),Biscoe,50.4,15.7,222.0,5750.0,MALE
261,Gentoo penguin (Pygoscelis papua),Biscoe,47.3,15.3,222.0,5250.0,MALE
262,Gentoo penguin (Pygoscelis papua),Biscoe,50.5,15.9,222.0,5550.0,MALE
263,Gentoo penguin (Pygoscelis papua),Biscoe,52.1,17.0,230.0,5550.0,MALE
264,Gentoo penguin (Pygoscelis papua),Biscoe,50.0,16.3,230.0,5700.0,MALE
265,Gentoo penguin (Pygoscelis papua),Biscoe,51.5,16.3,230.0,5500.0,MALE
266,Gentoo penguin (Pygoscelis papua),Biscoe,59.6,17.0,230.0,6050.0,MALE
267,Gentoo penguin (Pygoscelis papua),Biscoe,48.6,16.0,230.0,5800.0,MALE
268,Gentoo penguin (Pygoscelis papua),Biscoe,49.8,16.8,230.0,5700.0,MALE
269,Gentoo penguin (Pygoscelis papua),Biscoe,55.1,16.0,230.0,5850.0,MALE
270,Adelie Penguin (Pygoscelis adeliae),Biscoe,37.7,16.0,183.0,3075.0,FEMALE
271,Adelie Penguin (Pygoscelis adeliae),Biscoe,40.6,18.6,183.0,3550.0,MALE
272,Adelie Penguin (Pygoscelis adeliae),Biscoe,41.4,18.6,191.0,3700.0,MALE
273,Adelie Penguin (Pygoscelis adeliae),Biscoe,45.6,20.3,191.0,4600.0,MALE
274,Adelie Penguin (Pygoscelis adeliae),Biscoe,39.6,20.7,191.0,3900.0,FEMALE
275,Adelie Penguin (Pygoscelis adeliae),Biscoe,38.6,17.2,199.0,3750.0,FEMALE
276,Gentoo penguin (Pygoscelis papua),Biscoe,45.1,14.5,207.0,5050.0,FEMALE
277,Gentoo penguin (Pygoscelis papua),Biscoe,46.8,15.4,215.0,5150.0,MALE
278,Gentoo penguin (Pygoscelis papua),Biscoe,47.8,15.0,215.0,5650.0,MALE
279,Gentoo penguin (Pygoscelis papua),Biscoe,45.1,14.5,215.0,5000.0,FEMALE
280,Gentoo penguin (Pygoscelis papua),Biscoe,47.6,14.5,215.0,5400.0,MALE
